frame,x,y,r,xn,yn
160,616.3,264.1,22.5,282.4380055812718,139.67493058209394
161,614.5,270.5,22.9,280.2461388902774,150.26785767200698
162,614.5,268.5,23.0,280.2943045238745,146.9838967670957
163,609.5,252.5,27.4,275.0111107161667,120.85360690326175
164,618.5,281.5,21.8,284.49762497082827,168.1248531456363
165,618.5,290.5,23.6,284.2755741203904,182.82748952293903
166,605.5,313.5,27.4,269.1117340109214,220.73744470962558
167,623.5,305.5,27.4,289.5315546773419,207.03525202681098
168,617.5,317.5,21.7,282.49054861193144,226.72621185048362
169,620.5,325.5,22.9,285.6606218130224,239.5299189048868
170,621.5,330.5,23.5,286.65762523479515,247.5515884638661
171,621.5,336.5,22.7,286.50861710514835,257.20879596944343
172,623.5,340.5,23.5,288.6470960240233,263.5584314895935
173,624.5,342.5,22.5,289.71540984364896,266.73050081227404
174,624.5,355.5,22.9,289.38728494175973,287.5549504019204
175,617.5,374.5,22.4,281.1204645706934,318.1027950970327
176,624.5,369.5,23.0,289.03540651264785,309.88691779157523
177,625.5,371.5,22.9,290.0988080513717,313.03142387078833
178,626.5,371.5,21.0,291.2124068016371,312.99359936011064
179,627.5,380.5,24.0,292.09610775840486,327.2529461937923
180,627.5,388.5,22.9,291.8922459711991,339.927972857347
181,628.5,388.5,23.0,293.0030004426186,339.8908989082865
182,628.5,393.5,21.8,292.8749785708222,347.797020495661
183,627.5,403.5,24.1,291.5113680731777,363.60890678394276
184,627.5,407.5,23.0,291.41009962243294,369.90523299083367
185,627.5,420.5,25.1,291.08184228339877,390.31450430054343
186,629.5,428.5,24.9,293.0882830940497,402.76266605920887
187,627.5,440.5,21.8,290.5793998909558,421.5536629893857
188,628.5,444.5,23.0,291.58042088886344,427.7437537515919
189,629.5,447.5,23.9,292.6055840259249,432.37288400204
190,631.5,460.5,25.2,294.47404570719567,452.46494565497215
191,633.5,468.5,26.3,296.4643556619703,464.7645214165336
192,635.5,470.5,22.5,298.60682573034023,467.7845568382916
193,635.5,483.5,22.9,298.26734371442814,487.80591531047673
194,635.5,487.5,22.9,298.1631595175001,493.9503031014719
195,635.5,492.5,22.9,298.0331085390083,501.6202153147802
196,635.5,499.5,23.0,297.8513709840659,512.3384052771597
197,636.5,503.5,22.9,298.83929634681516,518.4206236970423
198,631.5,516.5,23.9,293.0544193355457,538.3996361874342
199,641.5,517.5,27.4,303.9221859773107,539.6048689250684
200,634.5,521.5,25.2,296.19417200378354,545.9068236962601
201,633.5,531.5,22.8,294.85177874794215,561.1073558359163
202,631.5,543.5,24.1,292.3785776633772,579.3105731118001
203,631.5,553.5,26.1,292.1296692515698,594.3778244440882
204,632.5,556.5,24.1,293.13774442405514,598.8590888427018
205,634.5,560.5,25.2,295.20186368003056,604.8082036432025
206,640.5,567.5,24.5,301.5114416686503,615.129233357458
207,647.5,571.5,21.6,308.9718551046701,620.9133575713863
208,649.5,577.5,22.9,310.96795036907133,629.8282561717862
209,649.5,587.5,25.2,310.69217840361597,644.7484504226335
210,654.5,591.5,27.4,315.9715302293139,650.5606889367514
211,648.5,599.5,23.0,309.2859176314716,662.6217197248453
212,646.5,603.5,21.6,307.0254806611778,668.6119034690373
213,646.5,612.5,22.9,306.7835660680085,681.9362614464721
214,645.5,621.5,20.7,305.46959230806937,695.2521083769508
215,643.5,627.5,20.5,303.1667440854785,704.1453515813624
216,643.5,629.5,22.4,303.11428236913343,707.0879213733859
